,X-Ray Images,CT-Scans,Label
0,person70_virus_130.jpeg,radiopaedia_org_covid-19-pneumonia-40_86625_0-dcm_z057.png,1
1,person913_virus_1570.jpeg,radiopaedia_org_covid-19-pneumonia-40_86625_0-dcm_z083.png,1
2,person808_virus_1442.jpeg,radiopaedia_org_covid-19-pneumonia-4_85506_1-dcm_z017.png,1
3,person849_virus_1494.jpeg,radiopaedia_org_covid-19-pneumonia-40_86625_0-dcm_z064.png,1
4,person705_virus_1303.jpeg,radiopaedia_org_covid-19-pneumonia-4_85506_1-dcm_z016.png,1
5,person940_virus_1609.jpeg,radiopaedia_org_covid-19-pneumonia-4_85506_1-dcm_z032.png,1
6,person702_virus_1299 (1).jpeg,radiopaedia_org_covid-19-pneumonia-40_86625_0-dcm_z087.png,1
7,person894_virus_1546.jpeg,radiopaedia_org_covid-19-pneumonia-7_85703_0-dcm_z005.png,1
8,person920_virus_1577.jpeg,radiopaedia_org_covid-19-pneumonia-40_86625_0-dcm_z042.png,1
9,person745_virus_1368.jpeg,radiopaedia_org_covid-19-pneumonia-4_85506_1-dcm_z009.png,1
10,person90_virus_169.jpeg,radiopaedia_org_covid-19-pneumonia-4_85506_1-dcm_z004.png,1
11,person776_virus_1405.jpeg,radiopaedia_org_covid-19-pneumonia-40_86625_0-dcm_z053.png,1
12,person747_virus_1370.jpeg,radiopaedia_org_covid-19-pneumonia-4_85506_1-dcm_z007.png,1
13,person703_virus_1300.jpeg,radiopaedia_org_covid-19-pneumonia-40_86625_0-dcm_z072.png,1
14,person847_virus_1492.jpeg,radiopaedia_org_covid-19-pneumonia-7_85703_0-dcm_z004.png,1
15,person72_virus_133.jpeg,radiopaedia_org_covid-19-pneumonia-7_85703_0-dcm_z033.png,1
16,person861_virus_1506.jpeg,tr_im_z039.png,1
17,person833_virus_1469.jpeg,tr_im_z076.png,1
18,person866_virus_1511.jpeg,tr_im_z051.png,1
19,person870_virus_1516.jpeg,tr_im_z088.png,1
20,person755_virus_1380.jpeg,tr_im_z044.png,1
21,person770_virus_1398.jpeg,val_im_z008.png,1
22,person863_virus_1508.jpeg,val_im_z010.png,1
